Jana Struct TextureFeature Zuordnung;Measured 0;Measured 1;Measured 2;Measured 3;Measured 4;Simulated 0;Simulated 1;Simulated 2;Simulated 3;Simulated 4;;;General Information;Data;
First Order 'Variance';153,5928522;136,9015921;146,3484645;163,7711684;124,9155673;153,5928522;145,9824487;115,5720989;173,0330012;142,454394;;;Number of Voxels;810;
First Order 'Skewness';0,331445295;0,279969789;0,470791885;0,171738352;0,049073296;0,331445295;0,006610626;-0,069474207;0,54236741;0,429925519;;;;;
First Order 'Kurtosis';-0,091666779;-0,208922723;0,088665888;-0,541999817;-0,194278101;-0,091666779;-0,202810353;-0,215046927;-0,208892282;-0,084661537;;;;;
GLCM/GTDSM 'Energy';0,001341629;0,000893067;0,000716914;0,000587656;0,000540845;0,001341629;0,000966928;0,000691154;0,000619958;0,000545908;;;;;
GLCM/GTDSM 'Contrast';82,94161298;149,9317967;208,5235311;267,4552179;280,7959046;82,94161298;118,7288088;227,6636851;227,3879625;309,2635332;;;;;
 GLCM/GTDSM 'Correlation';0,5413764;0,522997628;0,519157976;0,520087722;0,562520459;0,5413764;0,568215037;0,446629953;0,62268236;0,476939867;;;;;
GLCM/GTDSM 'Homogeneity';0,227737352;0,189396353;0,169052929;0,150882887;0,153677549;0,227737352;0,197194915;0,158249859;0,169025381;0,152320912;;;;;
GLCM/GTDSM  'SumAverage';0,004894095;0,006258426;0,00658374;0,007493193;0,007837083;0,004894095;0,006127406;0,006808657;0,007508877;0,007456912;;;;;
GLCM/GTDSM  'Entropy';9,870373093;10,46965486;10,74542228;11,00119015;11,13587593;9,870373093;10,30593064;10,77107564;10,96063797;11,10981424;;;;;
 GLCM/GTDSM 'Variance';0,0220037;0,038172817;0,052735968;0,067716734;0,07762634;0,0220037;0,03355862;0,049889274;0,072963583;0,072253011;;;;;
GLCM/GTDSM  'Dissimilarity';7,076629008;9,563566144;11,34083584;12,9861731;13,1253949;7,076629008;8,659625741;12,05337007;11,72013992;13,75394541;;;;;
GLRLM 'SRE';0,971417253;0,979548045;0,981988457;0,985194104;0,982160704;0,971417253;0,974994366;0,982835588;0,981435037;0,984037104;;;;;
GLRLM 'LRE';1,123832724;1,084490042;1,075611713;1,061007425;1,071357186;1,123832724;1,101825558;1,073121736;1,076043339;1,064742433;;;;;
GLRLM 'GLN';0,030895005;0,023730597;0,020876263;0,018758823;0,017259323;0,030895005;0,025531724;0,021146883;0,01808991;0,017902404;;;;;
GLRLM 'RLN';0,92720184;0,947127983;0,95336859;0,961424372;0,953560065;0,92720184;0,935655115;0,955587227;0,951840673;0,958400925;;;;;
GLRLM 'RP';0,961733698;0,972988843;0,975924839;0,980326579;0,976766888;0,961733698;0,967425432;0,976844584;0,975533372;0,97900314;;;;;
GLRLM 'LGRE';0,028675632;0,024973152;0,025868123;0,026052571;0,022388816;0,028675632;0,023895076;0,023938149;0,0237529;0,025390833;;;;;
GLRLM 'HGRE';462,000406;758,6073225;937,050341;1224,869757;1357,984409;462,000406;710,6515213;943,6343913;1234,050361;1232,375827;;;;;
GLRLM 'LRHGE';523,0539992;837,8980084;1022,1073;1297,549067;1443,592045;523,0539992;796,8478702;1016,19767;1345,622994;1311,779715;;;;;
GLRLM 'GLV';0,040343547;0,06395487;0,070686797;0,089724983;0,110267478;0,040343547;0,069427941;0,074835065;0,077327081;0,080141773;;;;;
GLRLM 'RLV';9,61E-05;8,82E-05;7,56E-05;6,60E-05;6,55E-05;9,61E-05;9,64E-05;7,73E-05;6,15E-05;6,13E-05;;;;;
GLZSM 'SZE';0,649143379;0,768188359;0,807895981;0,821399963;0,815393752;0,649143379;0,771740256;0,83382225;0,805878968;0,80480118;;;;;
GLZSM 'LZE';4,387665198;3,256603774;2,734042553;2,069767442;2,249158249;4,387665198;3,120300752;2,489795918;2,732142857;2,301369863;;;;;
GLZSM 'GLN';0,031768519;0,022997508;0,022056235;0,0190616;0,017900668;0,031768519;0,026711516;0,02216669;0,018954082;0,018366485;;;;;
GLRLM 'SRLGE';0,027720425;0,024535062;0,024451001;0,025381903;0,019642929;0,027720425;0,022308501;0,022244506;0,022291327;0,023559308;;;;;
GLRLM 'SRHGE';447,3063507;739,2609692;917,0204461;1206,722451;1336,5825;447,3063507;689,8101195;926,6488773;1206,162999;1213,274058;;;;;
GLRLM 'LRLGE';0,033653382;0,026738302;0,032464299;0,029636081;0,033372365;0,033653382;0,030242683;0,031632018;0,030526603;0,032717198;;;;;
GLZSM 'ZSN';0,405849133;0,547625489;0,607942256;0,628922418;0,619222528;0,405849133;0,552688111;0,650724235;0,606811224;0,602786639;;;;;
GLZSM 'ZP';0,576142132;0,674300254;0,717557252;0,769820972;0,753807107;0,576142132;0,678571429;0,75;0,712468193;0,744897959;;;;;
GLZSM 'LGZE';0,021496421;0,026063264;0,015663367;0,018008613;0,010995464;0,021496421;0,01647399;0,011336334;0,010942379;0,014072123;;;;;
GLZSM 'HGZE';448,9867841;697,6113208;901,2056738;1245,850498;1382,094276;448,9867841;658,1842105;919,0714286;1178,303571;1237,64726;;;;;
GLZSM 'SZLGE';0,008139339;0,01817545;0,00969438;0,010554678;0,005345496;0,008139339;0,01085994;0,006220874;0,004939232;0,005506789;;;;;
GLZSM 'SZHGE';285,282387;517,6798508;718,0035431;1037,103844;1136,115531;285,282387;476,9060769;739,8140019;928,2534167;1017,045891;;;;;
GLZSM 'LZLGE';0,138803218;0,059748903;0,157139039;0,089374656;0,157906296;0,138803218;0,134347126;0,167098409;0,168786927;0,128550871;;;;;
GLZSM 'LZHGE';2081,524229;2963,739623;2797,131206;2507,033223;2859,424242;2081,524229;2544,932331;2353,258503;3714,632143;2881,592466;;;;;
GLZSM 'GLV';0,012478663;0,013742654;0,030523591;0,046534913;0,041276671;0,012478663;0,021987148;0,02780188;0,034358275;0,039844146;;;;;
GLZSM 'ZSV';6,40E-05;3,70E-05;4,86E-05;4,34E-05;3,75E-05;6,40E-05;5,28E-05;4,23E-05;4,13E-05;4,21E-05;;;;;
NGTDM 'Coarseness';0,026107168;0,02100769;0,018859229;0,019044996;0,019787451;0,026107168;0,022808778;0,01778641;0,021033598;0,017349245;;;;;
NGTDM 'Contrast';0,449808073;0,759152348;1,018145727;1,178851761;1,249493365;0,449808073;0,632074237;1,088049246;1,088905026;1,367279792;;;;;
NGTDM 'Busyness';0,077152471;0,05730953;0,052181826;0,037195452;0,034071886;0,077152471;0,054688366;0,055076766;0,036429487;0,043436534;;;;;
NGTDM 'Complexity';1927,044737;4756,774678;7002,356474;9746,642122;10909,96358;1927,044737;3534,048544;7224,931911;8835,458965;11249,66961;;;;;
NGTDM 'Strength';11,9159241;16,24280312;18,71068087;24,5144398;28,16961976;11,9159241;15,20207895;16,80912518;28,22629153;22,94919027;;;;;
