TF Names
First Order 'Variance'
First Order 'Skewness'
First Order 'Kurtosis'
GLCM or GTDSM 'Energy'
GLCM or GTDSM 'Contrast'
 GLCM or GTDSM 'Correlation'
GLCM or GTDSM 'Homogeneity'
GLCM or GTDSM  'SumAverage'
GLCM or GTDSM  'Entropy'
 GLCM or GTDSM 'Variance'
GLCM or GTDSM  'Dissimilarity'
GLRLM 'SRE'
GLRLM 'LRE'
GLRLM 'GLN'
GLRLM 'RLN'
GLRLM 'RP'
GLRLM 'LGRE'
GLRLM 'HGRE'
GLRLM 'LRHGE'
GLRLM 'GLV'
GLRLM 'RLV'
GLZSM 'SZE'
GLZSM 'LZE'
GLZSM 'GLN'
GLRLM 'SRLGE'
GLRLM 'SRHGE'
GLRLM 'LRLGE'
GLZSM 'ZSN'
GLZSM 'ZP'
GLZSM 'LGZE'
GLZSM 'HGZE'
GLZSM 'SZLGE'
GLZSM 'SZHGE'
GLZSM 'LZLGE'
GLZSM 'LZHGE'
GLZSM 'GLV'
GLZSM 'ZSV'
NGTDM 'Coarseness'
NGTDM 'Contrast'
NGTDM 'Busyness'
NGTDM 'Complexity'
NGTDM 'Strength'
